iter	Passed	Remaining
0	74	74428
1	137	68498
2	195	64848
3	255	63579
4	311	62030
5	360	59751
6	415	58888
7	464	57603
8	513	56534
9	574	56912
10	635	57163
11	697	57434
12	746	56692
13	805	56743
14	858	56359
15	915	56273
16	974	56358
17	1031	56255
18	1092	56407
19	1139	55841
20	1195	55753
21	1253	55708
22	1302	55311
23	1355	55130
24	1404	54773
25	1462	54774
26	1512	54504
27	1570	54523
28	1625	54415
29	1678	54262
30	1722	53847
31	1787	54072
32	1838	53859
33	1899	53963
34	1949	53761
35	1999	53528
36	2076	54032
37	2145	54307
38	2211	54490
39	2289	54940
40	2357	55150
41	2429	55422
42	2482	55242
43	2551	55443
44	2606	55324
45	2657	55104
46	2736	55490
47	2787	55281
48	2846	55246
49	2898	55063
50	2963	55135
51	3023	55127
52	3096	55323
53	3146	55118
54	3191	54831
55	3247	54751
56	3293	54481
57	3352	54456
58	3401	54248
59	3458	54180
60	3523	54238
61	3583	54221
62	3634	54049
63	3686	53910
64	3746	53889
65	3800	53777
66	3879	54025
67	3947	54099
68	4020	54250
69	4080	54218
70	4146	54256
71	4219	54386
72	4293	54517
73	4343	54358
74	4392	54180
75	4454	54152
76	4505	54003
77	4562	53935
78	4617	53835
79	4666	53667
80	4720	53558
81	4766	53366
82	4831	53379
83	4879	53207
84	4933	53107
85	5017	53323
86	5073	53238
87	5130	53168
88	5174	52964
89	5226	52848
90	5279	52733
91	5340	52708
92	5406	52728
93	5487	52890
94	5552	52896
95	5619	52916
96	5670	52784
97	5720	52647
98	5767	52491
99	5831	52479
100	5878	52322
101	5927	52182
102	5989	52163
103	6042	52060
104	6100	52003
105	6146	51835
106	6208	51816
107	6258	51694
108	6303	51529
109	6360	51464
110	6403	51288
111	6460	51223
112	6525	51220
113	6573	51086
114	6618	50936
115	6690	50984
116	6742	50888
117	6792	50768
118	6846	50689
119	6888	50516
120	6947	50470
121	7002	50393
122	7063	50365
123	7122	50318
124	7175	50231
125	7234	50182
126	7282	50058
127	7340	50009
128	7396	49937
129	7440	49790
130	7507	49799
131	7570	49783
132	7634	49766
133	7685	49666
134	7737	49580
135	7783	49449
136	7832	49340
137	7898	49335
138	7949	49239
139	8007	49187
140	8057	49088
141	8100	48942
142	8154	48867
143	8198	48737
144	8262	48722
145	8312	48623
146	8370	48572
147	8436	48564
148	8499	48541
149	8576	48597
150	8664	48717
151	8759	48870
152	8838	48928
153	8919	48997
154	8988	48999
155	9068	49060
156	9148	49121
157	9226	49171
158	9300	49193
159	9359	49139
160	9429	49136
161	9492	49101
162	9552	49052
163	9618	49030
164	9680	48988
165	9730	48887
166	9790	48835
167	9841	48740
168	9899	48675
169	9949	48575
170	10002	48492
171	10058	48420
172	10111	48337
173	10169	48277
174	10228	48218
175	10284	48151
176	10328	48025
177	10380	47935
178	10434	47860
179	10477	47730
180	10526	47632
181	10593	47614
182	10637	47491
183	10697	47439
184	10747	47347
185	10802	47277
186	10854	47192
187	10902	47090
188	10972	47080
189	11022	46990
190	11078	46925
191	11131	46844
192	11177	46737
193	11242	46708
194	11288	46601
195	11346	46541
196	11392	46437
197	11454	46398
198	11508	46324
199	11562	46248
200	11613	46163
201	11659	46059
202	11726	46039
203	11782	45975
204	11846	45940
205	11899	45865
206	11964	45836
207	12033	45819
208	12097	45787
209	12150	45709
210	12227	45723
211	12281	45651
212	12339	45594
213	12387	45498
214	12452	45467
215	12513	45419
216	12578	45388
217	12641	45347
218	12721	45367
219	12773	45287
220	12826	45211
221	12878	45134
222	12926	45041
223	12987	44990
224	13036	44903
225	13099	44863
226	13149	44777
227	13207	44719
228	13266	44666
229	13318	44589
230	13375	44525
231	13425	44442
232	13478	44370
233	13549	44353
234	13599	44269
235	13662	44228
236	13708	44133
237	13768	44081
238	13824	44018
239	13874	43936
240	13940	43902
241	13985	43807
242	14046	43756
243	14099	43686
244	14152	43612
245	14206	43542
246	14253	43453
247	14310	43393
248	14366	43330
249	14427	43283
250	14486	43228
251	14556	43208
252	14608	43131
253	14663	43067
254	14712	42982
255	14765	42911
256	14833	42883
257	14892	42829
258	14951	42776
259	15022	42756
260	15083	42706
261	15128	42613
262	15178	42534
263	15242	42495
264	15329	42517
265	15447	42626
266	15561	42719
267	15641	42723
268	15700	42665
269	15778	42660
270	15862	42670
271	15944	42673
272	16016	42652
273	16080	42608
274	16136	42541
275	16201	42498
276	16266	42457
277	16317	42378
278	16372	42309
279	16426	42239
280	16496	42209
281	16543	42120
282	16610	42084
283	16668	42024
284	16737	41990
285	16781	41894
286	16864	41896
287	16918	41825
288	16987	41792
289	17037	41712
290	17095	41651
291	17150	41583
292	17199	41501
293	17263	41457
294	17313	41377
295	17372	41317
296	17432	41263
297	17488	41198
298	17546	41136
299	17596	41057
300	17664	41020
301	17720	40957
302	17797	40940
