iter	Logloss
0	0.6319527203
1	0.5864605608
2	0.552036302
3	0.5276641599
4	0.5025587726
5	0.4859936929
6	0.4703708755
7	0.4584997849
8	0.443703076
9	0.4329556524
10	0.4214572674
11	0.4125327622
12	0.4049365529
13	0.3969762457
14	0.3895905758
15	0.3829529534
16	0.3785872602
17	0.3742515916
18	0.3684943766
19	0.3625017087
20	0.3590226346
21	0.3551267667
22	0.3511253448
23	0.3479443635
24	0.3446457947
25	0.3418551842
26	0.339429063
27	0.336409326
28	0.3341515536
29	0.3317079582
30	0.3290068414
31	0.3245036268
32	0.3223075638
33	0.3204945411
34	0.318434599
35	0.315289658
36	0.3133322012
37	0.311631626
38	0.3098670231
39	0.3082004565
40	0.3064043032
41	0.3039875768
42	0.3015952468
43	0.3000642987
44	0.2987617728
45	0.2967054573
46	0.2952998795
47	0.2940564324
48	0.2923126288
49	0.2911023444
50	0.2898362755
51	0.2887986769
52	0.2866667097
53	0.2844633803
54	0.28291667
55	0.2813773628
56	0.2797669149
57	0.2783365218
58	0.2773986694
59	0.2764224845
60	0.2755458423
61	0.2745066361
62	0.2735481558
63	0.2726596899
64	0.2716670572
65	0.2699308179
66	0.2690820565
67	0.2682445911
68	0.2674811652
69	0.2667194697
70	0.2657661779
71	0.2650152983
72	0.2636401161
73	0.2625939477
74	0.2619055528
75	0.2606684418
76	0.2587481651
77	0.2574066369
78	0.2563890739
79	0.2557267261
80	0.254968518
81	0.2541667484
82	0.2533732871
83	0.2527607755
84	0.2521986505
85	0.2515604272
86	0.2509819278
87	0.250341232
88	0.2497715388
89	0.2490921209
90	0.2485927428
91	0.2480966652
92	0.247634557
93	0.2466553306
94	0.2459364019
95	0.2451006622
96	0.2445901679
97	0.2440638258
98	0.2436131795
99	0.2430552759
100	0.2419964289
101	0.2414803438
102	0.2407190147
103	0.2401709139
104	0.2396613466
105	0.2391960596
106	0.2387386345
107	0.2382850253
108	0.2378658892
109	0.2374188117
110	0.2370424105
111	0.2366550192
112	0.236282177
113	0.2358452534
114	0.2352380071
115	0.2349068923
116	0.2345050192
117	0.2335017663
118	0.2331366665
119	0.2325601682
120	0.2321494937
121	0.231724996
122	0.2313132881
123	0.2309749059
124	0.2305593898
125	0.2302466888
126	0.2298468683
127	0.2291291615
128	0.2288448218
129	0.2284287838
130	0.2279401162
131	0.2275880361
132	0.2271007112
133	0.2267057385
134	0.2263911376
135	0.2258610002
136	0.2254894499
137	0.2251894233
138	0.224841102
139	0.2244626698
140	0.224099229
141	0.2237519402
142	0.2233952053
143	0.2230899967
144	0.222739995
145	0.222474144
146	0.2216590589
147	0.2211385334
148	0.2204611835
149	0.2201226921
150	0.219703426
151	0.2191582132
152	0.218681344
153	0.2183971448
154	0.218026081
155	0.2177422615
156	0.2174147901
157	0.2170461641
158	0.2167603728
159	0.2164697134
160	0.2161414772
161	0.2157906467
162	0.2153793417
163	0.2144908484
164	0.2140926546
165	0.213821831
166	0.213466123
167	0.2131252388
168	0.2128635493
169	0.2125995366
170	0.2123397234
171	0.2120112144
172	0.2117409046
173	0.2114955512
174	0.2112335314
175	0.2108510244
176	0.2106157113
177	0.2103384499
