iter	Passed	Remaining
0	61	61418
1	107	53395
2	163	54300
3	220	54991
4	271	53940
5	325	53955
6	369	52430
7	433	53719
8	498	54836
9	547	54185
10	621	55892
11	675	55645
12	742	56345
13	790	55698
14	850	55881
15	909	55927
16	967	55935
17	1022	55760
18	1080	55785
19	1135	55662
20	1183	55173
21	1245	55361
22	1293	54966
23	1354	55103
24	1407	54878
25	1462	54792
26	1521	54819
27	1596	55425
28	1663	55702
29	1765	57093
30	1841	57554
31	1921	58122
32	1985	58172
33	2038	57914
34	2100	57910
35	2161	57882
36	2219	57776
37	2269	57462
38	2323	57262
39	2380	57137
40	2440	57076
41	2517	57426
42	2581	57457
43	2637	57304
44	2695	57203
45	2739	56823
46	2798	56735
47	2855	56639
48	2913	56550
49	2987	56770
50	3088	57468
51	3159	57601
52	3214	57435
53	3279	57451
54	3333	57274
55	3400	57330
56	3479	57558
57	3549	57641
58	3602	57463
59	3662	57386
60	3711	57138
61	3779	57182
62	3833	57023
63	3889	56884
64	3957	56923
65	4004	56674
66	4065	56618
67	4111	56358
68	4169	56258
69	4221	56082
70	4269	55870
71	4348	56047
72	4423	56167
73	4482	56096
74	4533	55918
75	4595	55874
76	4643	55659
77	4700	55565
78	4761	55514
79	4822	55463
80	4884	55416
81	4946	55377
82	5036	55642
83	5125	55894
84	5201	55988
85	5274	56054
86	5331	55954
87	5400	55967
88	5450	55790
89	5505	55662
90	5589	55828
91	5642	55686
92	5706	55658
93	5755	55473
94	5808	55335
95	5870	55278
96	5924	55154
97	5989	55124
98	6050	55063
99	6116	55045
100	6174	54958
101	6242	54954
102	6302	54886
103	6368	54867
104	6418	54711
105	6473	54596
106	6534	54536
107	6581	54355
108	6639	54274
109	6690	54136
110	6753	54091
111	6813	54022
112	6865	53891
113	6944	53969
114	7015	53989
115	7087	54009
116	7161	54048
117	7219	53960
118	7283	53918
119	7346	53877
120	7411	53843
121	7481	53844
122	7546	53805
123	7617	53815
124	7687	53810
125	7764	53858
126	7828	53812
127	7913	53908
128	7994	53979
129	8052	53890
130	8130	53931
131	8221	54060
132	8280	53978
133	8368	54083
134	8455	54180
135	8535	54225
136	8610	54239
137	8672	54174
138	8753	54222
139	8810	54119
140	8873	54058
141	8938	54007
142	8986	53853
143	9047	53783
144	9118	53766
145	9198	53803
146	9254	53700
147	9318	53642
148	9400	53687
149	9455	53581
150	9523	53545
151	9572	53402
152	9631	53320
153	9687	53218
154	9750	53153
155	9795	52995
156	9843	52854
157	9913	52829
158	9958	52675
159	10024	52627
160	10075	52504
161	10132	52412
162	10188	52318
163	10236	52181
164	10290	52074
165	10344	51969
166	10405	51900
167	10451	51759
168	10500	51630
169	10561	51564
170	10620	51486
171	10690	51462
172	10740	51344
173	10817	51350
174	10873	51262
175	10935	51196
176	10990	51102
177	11043	50998
178	11111	50965
179	11165	50863
180	11234	50836
181	11302	50798
182	11382	50816
183	11467	50857
184	11528	50785
185	11595	50745
186	11654	50669
187	11734	50682
188	11811	50682
189	11879	50645
190	11958	50651
191	12020	50584
192	12090	50553
193	12143	50451
194	12210	50406
195	12266	50317
196	12340	50303
197	12392	50196
198	12459	50149
199	12515	50061
200	12586	50033
201	12634	49912
202	12688	49817
203	12769	49825
204	12819	49714
205	12882	49654
206	12945	49594
207	13007	49528
208	13088	49536
209	13143	49442
210	13217	49423
211	13273	49337
212	13358	49356
213	13447	49390
214	13502	49299
215	13545	49164
216	13623	49157
217	13681	49077
218	13751	49040
219	13816	48986
220	13904	49011
221	13951	48891
222	14011	48820
223	14057	48697
224	14114	48616
225	14179	48559
226	14228	48452
227	14277	48344
228	14326	48233
229	14407	48233
230	14466	48157
231	14527	48091
232	14595	48046
233	14661	47992
234	14717	47911
235	14767	47806
236	14841	47781
237	14904	47720
238	15006	47782
239	15080	47754
240	15150	47713
241	15208	47635
242	15277	47593
243	15341	47532
244	15412	47495
245	15468	47410
246	15546	47393
247	15618	47358
248	15696	47342
249	15761	47285
250	15809	47177
251	15879	47133
252	15936	47054
253	16001	46996
254	16063	46929
255	16122	46857
256	16181	46781
257	16236	46694
258	16293	46615
259	16400	46678
260	16529	46800
261	16606	46776
262	16673	46724
263	16750	46699
264	16831	46683
265	16900	46634
266	16968	46585
267	17034	46526
268	17097	46463
269	17157	46389
270	17220	46322
271	17309	46327
272	17381	46287
273	17484	46326
274	17565	46308
275	17631	46251
276	17690	46175
277	17784	46188
278	17873	46190
279	17952	46163
280	18027	46126
281	18101	46088
282	18183	46070
283	18255	46024
284	18346	46026
285	18461	46089
286	18580	46160
287	18647	46100
288	18721	46059
289	18800	46028
290	18849	45926
291	18905	45839
292	18971	45776
293	19123	45922
294	19239	45978
295	19306	45916
296	19391	45899
297	19477	45882
298	19555	45848
